"Schema Version","Project","Revision","Record Type","Input Key","Value","Unit","Source","Source Reference","Location","Notes","Schema ID"
"2.0","Sample House A","R00","DIRECT_ITEM","foundation_helical_pile_count","24","EA","STRUCTURAL","Foundation plan","Foundation","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","DIRECT_ITEM","foundation_pile_cap_count","24","EA","STRUCTURAL","Foundation plan","Foundation","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","DIRECT_ITEM","foundation_pile_bracket_count","24","EA","STRUCTURAL","Foundation plan","Foundation","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","DIRECT_ITEM","steel_bedframe_hss_beam_count","14","EA","STRUCTURAL","Steel schedule","Substructure","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","FACT","steel_bedframe_bolt_count","96","EA","STRUCTURAL","Connection schedule","Substructure","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","FACT","floor_to_hss_connection_count","80","EA","REVIT","Floor connections","Floors","Drives rods, washers, and nuts","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","FACT","floor_to_floor_connection_count","186","EA","REVIT","Floor connections","Floors","Minimum plate quantity still requires approval","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","FACT","floor_connection_count","310","EA","REVIT","Floor connections","Floors","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","FACT","wall_connection_count","310","EA","REVIT","Wall connections","Walls","Sample value for four screws per connection","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","FACT","wall_wood_to_metal_connection_count","75","EA","REVIT","Wall connections","Walls","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","FACT","wall_angle_connection_count","32","EA","STRUCTURAL","Wall angle schedule","Walls","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","DIRECT_ITEM","wall_hold_down_count","32","EA","STRUCTURAL","Hold-down schedule","Walls","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","FACT","wall_to_wall_connection_count","40","EA","REVIT","Wall connections","Walls","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","FACT","truss_connection_count","64","EA","STRUCTURAL","Truss schedule","Trusses","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","DIRECT_ITEM","truss_angle_count","24","EA","STRUCTURAL","Truss schedule","Trusses","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","DIRECT_ITEM","truss_stitch_piece_count","18","EA","STRUCTURAL","Truss schedule","Trusses","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","DIRECT_ITEM","roof_purlin_total_length","520","FT","PURLINMAKER","PurlinMaker","Roof","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","DIRECT_ITEM","roof_slope_material_area","1200","SQFT","REVIT","Roof schedule","Roof","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","FACT","roof_panel_connection_count","640","EA","REVIT","Roof connections","Roof","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","FACT","roof_rivet_count","500","EA","CALCULATED","Roof rule","Roof","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","FACT","roof_joint_length","420","FT","REVIT","Roof seams","Roof","Sample value","neovi.site-bom.project-inputs"
"2.0","Sample House A","R00","DIRECT_ITEM","garage_ceiling_area","500","SQFT","REVIT","Ceiling schedule","Garage","Sample value","neovi.site-bom.project-inputs"
